Kernel,Dataset,Time(s)
BASE,MINI_DATASET,0.00078974
BASE,SMALL_DATASET,0.00492427
BASE,STANDARD_DATASET,0.146878
BASE,LARGE_DATASET,0.32873
BASE,EXTRALARGE_DATASET,0
PINNED,MINI_DATASET,0.000466094
PINNED,SMALL_DATASET,0.00519104
PINNED,STANDARD_DATASET,0.267647
PINNED,LARGE_DATASET,0.283806
PINNED,EXTRALARGE_DATASET,0
UVM,MINI_DATASET,0.00137651
UVM,SMALL_DATASET,0.0047413
UVM,STANDARD_DATASET,0.457996
UVM,LARGE_DATASET,3.80402
UVM,EXTRALARGE_DATASET,25.663
CONST,MINI_DATASET,0.00113828
CONST,SMALL_DATASET,0.00437516
CONST,STANDARD_DATASET,0.262502
CONST,LARGE_DATASET,0.328508
CONST,EXTRALARGE_DATASET,0
TILING,MINI_DATASET,0.000596718
TILING,SMALL_DATASET,0.00378849
TILING,STANDARD_DATASET,0.0622967
TILING,LARGE_DATASET,0.13703
TILING,EXTRALARGE_DATASET,0
TRANSPOSE,MINI_DATASET,0.00116292
TRANSPOSE,SMALL_DATASET,0.017999
TRANSPOSE,STANDARD_DATASET,0.163224
TRANSPOSE,LARGE_DATASET,0.426604
TRANSPOSE,EXTRALARGE_DATASET,0
STREAMS,MINI_DATASET,0.0012887
STREAMS,SMALL_DATASET,0.00727255
STREAMS,STANDARD_DATASET,0.307777
STREAMS,LARGE_DATASET,0.552046
STREAMS,EXTRALARGE_DATASET,0
OPT_STREAMS,MINI_DATASET,0.00140964
OPT_STREAMS,SMALL_DATASET,0.00591589
OPT_STREAMS,STANDARD_DATASET,0.278136
OPT_STREAMS,LARGE_DATASET,0.370879
OPT_STREAMS,EXTRALARGE_DATASET,0